2022-01-29 19:06:17 status half-installed libraspberrypi-bin:armhf 1:1.20211007-2~buster
2022-01-29 19:06:33 status unpacked libraspberrypi-bin:armhf 1:1.20211201~buster-1
2022-01-29 19:06:33 upgrade libraspberrypi0:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 19:06:33 status half-configured libraspberrypi0:armhf 1:1.20211007-2~buster
2022-01-29 19:06:33 status unpacked libraspberrypi0:armhf 1:1.20211007-2~buster
2022-01-29 19:06:33 status half-installed libraspberrypi0:armhf 1:1.20211007-2~buster
2022-01-29 19:06:39 status unpacked libraspberrypi0:armhf 1:1.20211201~buster-1
2022-01-29 19:06:39 upgrade raspberrypi-bootloader:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 19:06:39 status half-configured raspberrypi-bootloader:armhf 1:1.20211007-2~buster
2022-01-29 19:06:39 status unpacked raspberrypi-bootloader:armhf 1:1.20211007-2~buster
2022-01-29 19:06:39 status half-installed raspberrypi-bootloader:armhf 1:1.20211007-2~buster
2022-01-29 19:07:25 status unpacked raspberrypi-bootloader:armhf 1:1.20211201~buster-1
2022-01-29 19:07:25 upgrade libtiff5-dev:armhf 4.1.0+git191117-2~deb10u2 4.1.0+git191117-2~deb10u3
2022-01-29 19:07:25 status half-configured libtiff5-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 19:07:25 status unpacked libtiff5-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 19:07:25 status half-installed libtiff5-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 19:07:27 status unpacked libtiff5-dev:armhf 4.1.0+git191117-2~deb10u3
2022-01-29 19:07:27 upgrade linux-libc-dev:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 19:07:27 status half-configured linux-libc-dev:armhf 1:1.20211007-2~buster
2022-01-29 19:07:28 status unpacked linux-libc-dev:armhf 1:1.20211007-2~buster
2022-01-29 19:07:28 status half-installed linux-libc-dev:armhf 1:1.20211007-2~buster
2022-01-29 19:07:48 status unpacked linux-libc-dev:armhf 1:1.20211201~buster-1
2022-01-29 19:07:48 upgrade openjdk-8-jdk:armhf 8u212-b01-1+rpi1 8u312-b07-1~deb9u1
2022-01-29 19:07:48 status half-configured openjdk-8-jdk:armhf 8u212-b01-1+rpi1
